fips,PST045212,PST045211,PST040210,PST120212,PST120211,POP010210,AGE135211,AGE295211,AGE775211,SEX255211,RHI125211,RHI225211,RHI325211,RHI425211,RHI525211,RHI625211,RHI725211,RHI825211,POP715211,POP645211,POP815211,EDU635211,EDU685211,VET605211,LFE305211,HSG010211,HSG445211,HSG096211,HSG495211,HSD410211,HSD310211,INC910211,INC110211,PVY020211,BZA010210,BZA110210,BZA115210,NES010210,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030211,LND110210,POP060210
13007,0,3085,3451,0.0,-10.6,3451,6.4,25.0,10.6,51.2,51.2,46.4,0.4,1.1,0.1,0.9,4.9,47.4,95.6,0.4,0.6,81.3,9.7,153,26.0,1634,67.4,7.2,71200,1262,2.75,17838,27255,35.9,24,235,9.8,172,133,0.0,0.0,0.0,0.0,0.0,30.1,0,0,5320,1421,0,0,341.94,10.1
13009,0,44417,45720,0.0,-2.8,45720,5.9,20.4,12.6,51.1,55.6,41.4,0.3,1.5,0.0,1.1,2.2,54.0,80.2,2.5,4.3,81.3,19.0,3426,19.5,20304,60.3,16.1,113700,16317,2.51,17953,36429,27.2,799,12788,-16.3,2864,4071,0.0,0.0,1.6,0.0,1.0,26.6,0,0,524150,11267,57925,82,257.84,177.3
13011,0,18251,18395,0.0,-0.8,18395,5.9,24.8,13.0,49.4,94.1,3.1,0.5,1.0,0.1,1.2,6.1,88.6,92.2,3.1,4.7,75.2,11.1,1390,27.6,7702,78.5,3.3,149300,6583,2.75,20149,41397,17.0,278,3270,7.4,1257,0,0.0,0.0,0.0,0.0,0.0,0.0,0,23263,233863,14223,44269,1,232.09,79.3
13013,0,69912,69367,0.0,0.8,69367,7.9,27.9,9.8,50.6,82.0,12.0,0.5,3.5,0.1,2.0,9.1,74.0,85.4,7.2,11.7,79.5,16.1,5045,32.5,26390,77.0,6.7,137300,23404,2.89,20740,50604,13.2,1020,12762,33.6,4954,6370,0.0,0.0,0.0,0.0,0.0,30.2,768413,466296,660898,9839,125078,119,160.31,432.7
13015,0,100421,100157,0.0,0.3,100157,6.8,26.2,11.1,50.6,85.9,10.8,0.6,0.9,0.1,1.8,7.9,79.1,83.2,5.0,7.0,79.5,16.7,6479,28.5,40111,70.1,12.6,147000,34477,2.84,22324,49060,15.4,1835,26454,-0.4,7678,9679,7.0,0.0,2.5,0.0,0.0,28.2,3723604,648966,1177422,12699,140737,77,459.54,217.9
13017,0,17673,17634,0.0,0.2,17634,7.9,26.1,14.4,52.2,62.6,34.8,0.6,0.8,0.0,1.2,6.1,57.5,85.0,1.8,2.5,73.2,12.3,1337,18.3,7927,63.2,14.5,77100,6344,2.73,16234,31943,26.1,350,5126,-29.5,1045,1372,14.2,0.0,0.0,0.0,0.0,27.8,0,0,224967,12693,20020,16,250.12,70.5
13019,0,19372,19286,0.0,0.4,19286,6.5,24.9,14.6,50.4,86.5,11.5,0.4,0.5,0.0,1.1,5.0,82.1,84.5,2.4,5.1,72.2,11.3,1394,23.2,8847,70.2,3.6,74500,7213,2.60,16885,32512,23.7,282,3477,-12.8,1039,1210,0.0,0.0,0.0,0.0,0.0,33.1,415852,68412,129158,7739,9253,31,451.90,42.7
13021,0,156433,155547,0.0,0.6,155547,7.4,25.6,12.8,52.7,44.1,52.5,0.3,1.7,0.1,1.3,3.1,41.8,81.2,3.5,5.1,81.5,22.6,11943,20.9,69272,57.5,26.2,121900,57189,2.60,21754,37975,23.0,4277,70570,-15.6,11878,14851,32.5,0.4,3.3,0.0,0.0,35.1,1693877,1613732,2536200,16374,306252,308,249.76,622.8
13023,0,13290,13063,0.0,1.7,13063,5.6,22.3,15.4,52.5,70.1,27.9,0.1,0.9,0.0,0.9,2.4,68.2,86.5,2.6,4.5,75.3,12.3,973,23.1,5329,71.3,10.4,81200,4182,2.82,18149,35997,20.2,167,2171,-32.0,675,769,0.0,0.0,0.0,0.0,0.0,36.4,0,16882,76320,5950,6646,10,215.87,60.5
13025,0,18367,18410,0.0,-0.2,18411,6.9,26.3,11.7,50.3,94.3,3.6,0.4,0.2,0.0,1.4,2.0,92.5,90.1,0.4,2.1,76.9,4.6,1386,30.7,8252,84.1,3.1,74400,6735,2.65,18464,38374,21.7,177,1308,-10.5,1028,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,62404,4043,4259,17,442.36,41.6
